@relation 'MyVoldemort-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0'

@attribute cumulative_bug_count numeric
@attribute changed_LOC numeric
@attribute s183 numeric
@attribute s325 numeric
@attribute s326 numeric
@attribute s367 numeric
@attribute s646 numeric
@attribute s660 numeric
@attribute s705 numeric
@attribute s828 numeric
@attribute s1037 numeric
@attribute s1346 numeric
@attribute s1386 numeric
@attribute s2300 numeric
@attribute s2642 numeric
@attribute s2856 numeric
@attribute s4357 numeric
@attribute s4875 numeric
@attribute s5171 numeric
@attribute bug_introducing {0,1}

@data
4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,28,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1
3,3,4,0,0,1,0,0,11,2,0,0,0,0,0,0,0,0,0,0
22,2,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0
1,6,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,408,2,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0
2,37,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
5,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1,63,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1
2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2,17,3,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,1
1,22,2,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0
0,75,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
0,97,1,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0
1,21,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
0,49,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0
0,27,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
9,2,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
10,12,1,0,0,0,0,0,45,2,0,0,0,0,0,0,8,0,0,1
10,12,1,0,0,0,0,0,44,2,0,0,0,0,0,0,6,0,0,0
3,30,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1
10,31,3,0,0,0,0,0,42,1,12,0,0,0,0,0,0,0,0,1
7,10,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1,9,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
0,212,2,0,0,12,0,0,8,0,0,0,0,0,0,0,0,4,0,0
1,6575,0,0,0,1,0,0,76,60,0,0,0,0,0,0,0,72,0,1
1,129,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,6,8,1
1,3,1,0,0,11,0,0,7,1,0,0,0,0,0,0,0,0,0,0
4,3562,0,0,0,1,0,0,49,30,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,39,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
2,121,0,0,0,0,0,0,40,30,0,0,0,0,0,0,0,36,0,1
2,112,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,1
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,37,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,1
2,26,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,0
2,613,0,0,0,0,0,0,40,34,0,0,0,0,0,0,0,36,0,0
2,22,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,0
3,649,0,0,0,0,0,0,47,40,0,0,0,0,0,0,0,36,0,1
3,140,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,6,1
2,201,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,1
4,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,5,1
2,36,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
4,22,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,0
2,106,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0
5,46,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,1
2,76,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0
6,36,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,1
3,82,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,1
4,425,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,36,0,1
7,103,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,1
3,18,21,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
8,19,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,1
3,50,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
9,67,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,1
0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,16,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
